Päivämäärä, Sää, Ylin, Alin, Tuuli
Su 8.8.,Pilvistä, runsasta sadetta,+14°,+14°,6 m/s
Ma 9.8.,Melko pilvistä, ajoittaista sadetta,+18°,+18°,4 m/s
Ti 10.8.,Melko pilvistä, ajoittaista sadetta,+18°,+18°,5 m/s
Ke 11.8.,Melko pilvistä, ajoittaista sadetta,+19°,+19°,3 m/s
To 12.8.,Melko pilvistä, ukkosta,+19°,+19°,3 m/s
Pe 13.8.,Puolipilvistä, mahdollisesti vähäistä sadetta,+20°,+20°,2 m/s
La 14.8.,Melko pilvistä, ajoittaista sadetta,+18°,+18°,2 m/s
Su 15.8.,Melko pilvistä, ajoittaista sadetta,+18°,+18°,2 m/s
Ma 16.8.,Melko pilvistä, ajoittaista sadetta,+19°,+19°,2 m/s
Ti 17.8.,Melko pilvistä, ajoittaista sadetta,+18°,+18°,3 m/s
