Päivämäärä, Sää, Ylin, Alin, Tuuli
Su 8.8.,Pilvistä, ajoittaista sadetta,+16°,+16°,7 m/s
Ma 9.8.,Melko pilvistä, ajoittaista sadetta,+18°,+18°,5 m/s
Ti 10.8.,Melko pilvistä, ajoittaista sadetta,+19°,+19°,4 m/s
Ke 11.8.,Melko pilvistä, ajoittaista sadetta,+20°,+20°,3 m/s
To 12.8.,Melko pilvistä, ajoittaista sadetta,+19°,+19°,3 m/s
Pe 13.8.,Melko pilvistä, ajoittaista sadetta,+20°,+20°,4 m/s
La 14.8.,Puolipilvistä, ajoittain sadetta,+21°,+21°,3 m/s
Su 15.8.,Melko pilvistä, ajoittaista sadetta,+19°,+19°,4 m/s
Ma 16.8.,Melko pilvistä, ajoittaista sadetta,+18°,+18°,5 m/s
Ti 17.8.,Melko pilvistä, ajoittaista sadetta,+18°,+18°,4 m/s
